1,OSSEG-OBRA SOCIAL DE SEGUROS,OSSEG-OBRA SOCIAL DE SEGUROS,C.PELLEGRINI 575,CAPITAL FEDERAL,1009,NULL,30500053522,2,30-50005352-2,60,1,1,3,0,0,0,6,4,6,4,6,4,120,active,NULL,NULL
2,O.S.PERS.IND.ALIMENTICIAS,O.S.PERS.IND.ALIMENTICIAS,PTE PERON 153,QUILMES,1878,NULL,30504340917,1, ,60,1,1,3,0,0,0,6,4,6,4,6,4,120,active,NULL,NULL
3,O.S.PERSONAL DE TELEVISION,O.S.PERSONAL DE TELEVISION,CALLE 23 Nro 531,MERCEDES,6600,NULL,30516748385,1, ,30,1,1,3,0,0,0,6,4,6,4,6,4,120,active,NULL,NULL
4,CONF.EPISCOPAL ARGENTINA,CONF.EPISCOPAL ARGENTINA,RODRIGUEZ PE･A 846,CAPITAL FEDERAL,1020,NULL,30517312904,1,EXCENTO,30,1,0,3,0,0,0,6,4,6,4,6,4,120,active,NULL,NULL
5,CONSOLIDAR SALUD S.A.,CONSOLIDAR SALUD S.A.,TTE. PERON 1741,BUENOS AIRES,1741,NULL,30520634971,1,901-941282-8,60,1,1,3,0,0,0,6,4,6,4,6,4,100,active,NULL,NULL
6,FUSAL,FUSAL,LAVALLE 1675-P 10ro 7,CAPITAL FEDERAL,0,NULL,30522031816,2,30-52203181-6,30,1,1,3,0,0,0,6,4,6,4,6,4,120,active,NULL,NULL
7,GALENO ARGENTINA S.A.,GALENO ARGENTINA S.A.,E.R DE DELEPIANE 150,CAPITAL FEDERAL,0,NULL,30522428163,1,901-916798-6,60,1,1,3,0,0,0,6,4,6,4,6,4,120,active,NULL,NULL
8,OSPATCA,OSPATCA,PTE.L.S. PE･A 1142/4,CAPITAL FEDERAL,1110,NULL,30530955253,1,30-53095525-3,30,1,1,3,0,0,0,6,4,6,4,6,4,120,active,NULL,NULL
9,IOMA-FEMEBA,IOMA-FEMEBA,CALLE 54 Nro 920,LA PLATA,1900,NULL,30533675812,1,30-53367581-2,30,1,1,3,1,1,4,6,4,6,4,6,4,100,active,NULL,NULL
10,FEDER. MEDICA DE ENTRE RIOS,FEDER. MEDICA DE ENTRE RIOS,9 DE JULIO Nro362,PARANA-E.R.,3100,NULL,30543078812,1,30-54307881-2,7,1,0,0,0,0,0,8,4,8,4,8,4,120,active,NULL,NULL
11,MUT.BCO.PROVINCIA PREST.Nro2388,MUT.BCO.PROVINCIA PREST.Nro2388,BOLIVAR 368,CAPITAL,0,NULL,30545959948,1, ,60,1,1,3,0,0,0,6,4,6,4,6,4,120,active,NULL,NULL
12,MUTUAL AGUA Y ENERGIA ZARATE,MUTUAL AGUA Y ENERGIA ZARATE,MAIPU 81,ZARATE,2800,NULL,30546156415,1, ,15,1,1,0,0,0,0,8,4,6,4,8,4,120,active,NULL,NULL
13,O.S.P.L.A.D.,O.S.P.L.A.D.,PARAGUAY 2050-2roPISO,CAPITAL FEDERAL,0,NULL,30546666189,2,30-54666618-9,30,1,1,3,0,0,0,10,6.5,6,6.5,10,6.5,0,active,NULL,NULL
14,D.A.S.U.Te.N.,D.A.S.U.Te.N.,SAN MARTIN 1171,CAMPANA,2804,NULL,30546671166,1, ,45,1,1,3,0,0,0,6,4,6,4,6,4,120,active,NULL,NULL
15,I.O.S.E.,I.O.S.E.,PASO 547,CAPITAL FEDERAL,1031,NULL,30546690683,1, ,60,1,1,3,0,0,0,6,4,6,4,6,4,120,active,NULL,NULL
16,DIBA,DIBA (PREST.Nro 8781),QUIRNO 245,ZARATE,2800,NULL,30546695014,1,30-54669501-4,60,1,1,3,0,0,0,6,4,6,4,6,4,120,active,NULL,NULL
17,O.S.D.E.,O.S.D.E.,9 DE JULIO 767,PERGAMINO,2700,NULL,30546741253,2,30-54674125-3,10,1,1,3,0,0,0,6,4,6,4,6,4,120,active,NULL,NULL
